Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
189.393997	37731	335814	331930	335814	3.366595	0.000318	2.863741	0.000318	1.000038	1.000000	0.000005	0.000000	37621	3850	4	37528	37528	37719	12	0	0	0	0	0	0	0	0	0
190.394028	38160	14643	14468	14643	3.383805	0.000419	2.882466	0.000419	1.000103	1.000000	0.000051	0.000000	38059	3876	6	37971	37971	38144	16	0	0	0	0	0	0	0	0	0
191.394028	38568	52990	52407	52990	3.396987	0.000415	2.900899	0.000415	1.000153	1.000000	0.000093	0.000000	38465	3945	6	38384	38384	38552	16	0	0	0	0	0	0	0	0	0
192.394058	38989	91672	90668	91672	3.420349	0.000539	2.919382	0.000538	1.000197	1.000000	0.000121	0.000000	38890	3988	6	38790	38790	38968	21	0	0	0	0	0	0	0	0	0
193.394073	39375	130980	129590	130980	3.438171	0.000635	2.947055	0.000635	1.000308	1.000000	0.000205	0.000000	39279	4034	5	39192	39192	39350	25	0	0	0	0	0	0	0	0	0
194.394073	39783	170542	168744	170542	3.454239	0.000628	2.969078	0.000628	1.000345	1.000000	0.000241	0.000000	39688	4056	5	39607	39607	39758	25	0	0	0	0	0	0	0	0	0
195.394104	40165	210496	208316	210496	3.478252	0.000523	2.995264	0.000523	1.000311	1.000000	0.000223	0.000000	40063	4115	5	39983	39983	40144	21	0	0	0	0	0	0	0	0	0
196.394135	40554	250723	248154	250723	3.497830	0.000469	3.032727	0.000468	1.000269	1.000000	0.000193	0.000000	40455	4138	5	40373	40373	40535	19	0	0	0	0	0	0	0	0	0
197.394150	40963	291578	288600	291578	3.523180	0.000561	3.059379	0.000561	1.000283	1.000000	0.000195	0.000000	40852	4204	5	40757	40757	40940	23	0	0	0	0	0	0	0	0	0
198.394150	41348	332319	328956	332319	3.536471	0.000701	3.076833	0.000701	1.000353	1.000000	0.000238	0.000000	41257	4232	5	41184	41184	41319	29	0	0	0	0	0	0	0	0	0
